OrgCode,ParentOrg,OrgName
L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE
Y02572,NHS ENGLAND NORTH EAST AND YORKSHIRE ,PARK COMMUNITY PRACTICE
Y04538,NHS ENGLAND SOUTH EAST ,BRACKNELL URGENT CARE CENTRE WIC
Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC
NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP
RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST
NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC
NYM13,NHS ENGLAND LONDON,HHCIC EAST WIC
8J094,NHS ENGLAND MIDLANDS ,BADGER LTD
C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR
AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD
Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE MEDICAL CENTRE WALK IN CENTRE
RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST
Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE
RVY,NHS ENGLAND NORTH WEST ,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST
AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC
NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL
RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST
C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE
Y02961,NHS ENGLAND MIDLANDS ,SUMMERFIELD GP SURG & URGENT CARE CENTRE
NQT10,NHS ENGLAND SOUTH EAST ,ASSURA READING LLP
C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE
RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST
RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST
